Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
MI;2011;9;4;04/09/2011;28 settembre 2011;231,5
RM;2011;9;4;04/09/2011;28 settembre 2011;233
TO;2011;9;4;04/09/2011;28 settembre 2011;
NA;2011;9;4;04/09/2011;28 settembre 2011;
FI;2011;9;5;05/09/2011;03 ottobre 2011;179,5
PG;2011;9;5;05/09/2011;03 ottobre 2011;202,6
VR;2011;9;5;05/09/2011;03 ottobre 2011;209
AL;2011;9;5;05/09/2011;03 ottobre 2011;209
PD;2011;9;5;05/09/2011;03 ottobre 2011;214
UD;2011;9;5;05/09/2011;03 ottobre 2011;214,5
TO;2011;9;5;05/09/2011;03 ottobre 2011;218,5
BO;2011;9;5;05/09/2011;03 ottobre 2011;218,5
TV;2011;9;5;05/09/2011;03 ottobre 2011;219
GR;2011;9;5;05/09/2011;03 ottobre 2011;222,66
MI;2011;9;5;05/09/2011;03 ottobre 2011;229,5
RM;2011;9;5;05/09/2011;03 ottobre 2011;231
NA;2011;9;5;05/09/2011;03 ottobre 2011;
FI;2011;10;1;01/10/2011;11 ottobre 2011;175,5
VR;2011;10;1;01/10/2011;11 ottobre 2011;202
AL;2011;10;1;01/10/2011;11 ottobre 2011;206
PD;2011;10;1;01/10/2011;11 ottobre 2011;209
UD;2011;10;1;01/10/2011;11 ottobre 2011;209,5
