Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
MI;2011;10;1;01/10/2011;224,5
MI;2011;10;2;02/10/2011;220,5
MI;2011;10;3;03/10/2011;218,5
MI;2011;10;4;04/10/2011;218,5
MI;2011;11;1;01/11/2011;218,5
MI;2011;11;2;02/11/2011;218,5
MI;2011;11;3;03/11/2011;218,5
MI;2011;11;4;04/11/2011;215,5
MI;2011;12;1;01/12/2011;215,5
MI;2011;12;2;02/12/2011;215,5
MI;2011;12;3;03/12/2011;213,5
MI;2011;12;4;04/12/2011;215,5
MI;2011;12;5;05/12/2011;215,5
MI;2012;1;1;01/01/2012;221,5
MI;2012;1;2;02/01/2012;227
MI;2012;1;3;03/01/2012;227
MI;2012;1;4;04/01/2012;227
MI;2012;2;1;01/02/2012;230
MI;2012;2;2;02/02/2012;237
MI;2012;2;3;03/02/2012;234
MI;2012;2;4;04/02/2012;231
MI;2012;3;1;01/03/2012;228
MI;2012;3;2;02/03/2012;228
MI;2012;3;3;03/03/2012;230
MI;2012;3;4;04/03/2012;230
MI;2012;3;5;05/03/2012;234
MI;2012;4;1;01/04/2012;237
MI;2012;4;2;02/04/2012;237
MI;2012;4;3;03/04/2012;237
MI;2012;5;1;01/05/2012;240
MI;2012;5;2;02/05/2012;240
MI;2012;5;3;03/05/2012;240
MI;2012;5;4;04/05/2012;241
MI;2012;5;5;05/05/2012;241
MI;2012;6;1;01/06/2012;241
MI;2012;6;2;02/06/2012;241
MI;2012;6;3;03/06/2012;
MI;2012;6;4;04/06/2012;
MI;2012;7;1;01/07/2012;229
MI;2012;7;2;02/07/2012;243
MI;2012;7;3;03/07/2012;256
MI;2012;7;4;04/07/2012;260,5
MI;2012;8;1;01/08/2012;262,5
MI;2012;8;4;04/08/2012;272,5
MI;2012;8;5;05/08/2012;272,5
MI;2012;9;1;01/09/2012;272,5
MI;2012;9;2;02/09/2012;272,5
MI;2012;9;3;03/09/2012;272,5
MI;2012;9;4;04/09/2012;272,5
MI;2012;10;1;01/10/2012;272,5
MI;2012;10;2;02/10/2012;272,5
MI;2012;10;3;03/10/2012;272,5
MI;2012;10;4;04/10/2012;272,5
MI;2012;11;1;01/11/2012;274,5
MI;2012;11;2;02/11/2012;278,5
MI;2012;11;3;03/11/2012;281,5
MI;2012;11;4;04/11/2012;284,5
MI;2012;11;5;05/11/2012;287,5
MI;2012;12;1;01/12/2012;287,5
MI;2012;12;2;02/12/2012;287,5
MI;2012;12;3;03/12/2012;286,5
MI;2013;1;1;01/01/2013;
MI;2013;1;2;02/01/2013;283,5
MI;2013;1;3;03/01/2013;281,5
MI;2013;1;4;04/01/2013;281,5
MI;2013;1;5;05/01/2013;280,5
MI;2013;2;1;01/02/2013;275,5
MI;2013;2;2;02/02/2013;270,5
MI;2013;2;3;03/02/2013;266,5
MI;2013;2;4;04/02/2013;262,5
MI;2013;3;1;01/03/2013;260,5
MI;2013;3;2;02/03/2013;258,5
MI;2013;3;3;03/03/2013;258,5
MI;2013;3;4;04/03/2013;262,5
MI;2013;4;1;01/04/2013;262,5
MI;2013;4;2;02/04/2013;266,5
MI;2013;4;3;03/04/2013;269,5
MI;2013;4;4;04/04/2013;269,5
MI;2013;5;1;01/05/2013;269,5
MI;2013;5;2;02/05/2013;269,5
MI;2013;5;3;03/05/2013;266,5
